Название;Описание;Цена;Количество игроков;Время игры;Возрастное ограничение;Ссылка
Освобождение;Галактическое противостояние;290₽;_2;_30;12+;https://hobbygames.ru/osvobozhdenie
Runebound. Третья редакция: Нерушимые узы;Пришла пора объединиться!;3290₽;_1-4;_60-120;14+;https://hobbygames.ru/runebound-tretja-redakcija-dopolnenie-nerushimie-uzi
Хугермугер;Абсолютное веселье и кавардак;690₽;_3-10;_30+;14+;https://hobbygames.ru/hugermuger
Бэнг! Долина теней;Тучи сгущаются – ставки повышаются!;390₽;_4-7;_20-40;12+;https://hobbygames.ru/bjeng-dolina-tenej
Мемономика;Stonks;490₽;_2-5;_15-20;12+;https://hobbygames.ru/memonomika
Анх: Боги Египта;Кто останется при монотеизме?;9990₽;_2-5;_90;12+;https://hobbygames.ru/anh-bogi-egipta
Дюна: Тайны Великих Домов;Восстановить справедливость на Арракисе;3890₽;_1-4;_120-180;16+;https://hobbygames.ru/djuna-tajni-velikih-domov
Ужас Аркхэма. Третья редакция: Во мраке ночи;Не время спать!;2790₽;_1-6;_120-180;13+;https://hobbygames.ru/uzhas-arkhjema-tretja-redakcija-vo-mrake-nochi
Древний Ужас: Таинственные Руины;Парад светил сулит погибель!;2290₽;_1-8;_120-240;14+;https://hobbygames.ru/drevnij-uzhas-tainstvennie-ruini
Основатели Мрачной Гавани;Войдите в историю!;5490₽;_1-4;_120+;12+;https://hobbygames.ru/osnovateli-mrachnoj-gavani
Русский манчкин;Сварим кашу из топора?;1290₽;_3-6;_30+;12+;https://hobbygames.ru/russkij-manchkin
Similo: Сказки;Ложь, да в них намёк;490₽;_2+;_10;8+;https://hobbygames.ru/similo-skazki
Мачи Коро: Шарп;Эффектное дополнение;590₽;_2-5;_30-45;7+;https://hobbygames.ru/machi-koro-sharp
Гравити Фолз: Спасти Пухлю;Бедный поросёночек!;990₽;_2-5;_20-40;6+;https://hobbygames.ru/graviti-folz-spasti-puhlju
Сквозь века: Новая история цивилизации;Путь вашей цивилизации;5290₽;_2-4;_120-240;13+;https://hobbygames.ru/skvoz-veka-novaja-istorija-civilizacii
Звёздные художники;Астрономическое искусство;1490₽;_2-8;_30;6+;https://hobbygames.ru/zvjozdnie-hudozhniki
"Набор игр ""Ужас Аркхэма. Третья редакция"": ""Мифы Ктулху""";Древние пробуждаются;12130₽;_1-6;_120-180;14+;https://hobbygames.ru/mifi-ktulhu
Nanty Narking. Битва за Лондон;Подпольные разборки на Темзе;3990₽;_2-4;_60+;13+;https://hobbygames.ru/nanty-narking-bitva-za-london
Герои Терринота;Настало время новых приключений!;2490₽;_1-4;_45+;12+;https://hobbygames.ru/geroi-terrinota
Особняки безумия. Вторая редакция: Улицы Аркхэма;Не выходите из комнаты;5490₽;_1-5;_120-180;13+;https://hobbygames.ru/osobnjaki-bezumija-ulici-arkhjema
Эволюция. Подарочное издание;Все в одной коробке!;2890₽;_2-6;_30-60;12+;https://hobbygames.ru/jevoljucija-podarochnoe-izdanie
Catan: Колонизаторы. Расширение для 5-6 игроков;Чем больше, тем лучше!;2490₽;_3-6;_60-90;10+;https://hobbygames.ru/catan-kolonizatori-rasshirenie-dlja-5-6-igrokov
За бортом;Выживет только один;990₽;_4-6;_40+;16+;https://hobbygames.ru/za-bortom-2-e-izdanie
Властелин колец. Странствия в Средиземье: Злодеи Эриадора;Больше противников!;1290₽;_1-5;_60+;13+;https://hobbygames.ru/vlastelin-kolec-stranstvija-v-sredizeme-zlodei-jeriadora
Манчкин 2: Дикий Топор;Орки с топорами!;990₽;_3-6;_30+;10+;https://hobbygames.ru/manchkin-2-dikij-topor-cvetnaja-versija
EXIT-Квест: Заброшенный дом;Разгадайте тайну заброшенного дома;990₽;_1-6;_60-120;12+;https://hobbygames.ru/exit-kvest-zabroshennij-dom
Да, Темный Властелин! (Да, Хозяин!);– Ну и почему вы снова провалили задание?;990₽;_4-9;_30+;12+;https://hobbygames.ru/da-temnij-vlastelin-da-hozjain
Каркассон: Таверны и соборы;Отдохнуть, помолиться и занять тайл;990₽;_2-6;_40+;7+;https://hobbygames.ru/karkasson-taverni-i-sobori
Ужас Аркхэма. Карточная игра: Карнавал ужасов;Невообразимый ужас вдали от дома;790₽;_1-2;_60-120;14+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-karnaval-uzhasov
Эпичные схватки боевых магов: Бесчинство в замке Спрутобойни;Врубаемся в новую магическую схватку!;1490₽;_2-6;_30+;18+;https://hobbygames.ru/jepichnie-shvatki-boevih-magov-beschinstvo-v-zamke-sprutobojni
Бразилия;К процветанию от эпохи к эпохе;4990₽;_1-4;_100;14+;https://hobbygames.ru/brazilija
Властелин колец. Странствия в Средиземье: Обитатели тьмы;Примерить Корону семи огней;1290₽;_1-5;_60+;13+;https://hobbygames.ru/vlastelin-kolec-stranstvija-v-sredizeme-obitateli-tmi
Хоббит. Карточная игра;"Эпическое путешествие по вселенной ""Властелина Колец""";490₽;_2-5;_30+;10+;https://hobbygames.ru/hobbit-kartochnaja-igra
Cluedo;Попробуйте вычислить убийцу!;2990₽;_2-6;_20+;8+;https://hobbygames.ru/cluedo-2018
Каркассон: Мосты, замки и базары;Что нам стоит мост построить?;990₽;_2-6;_40+;7+;https://hobbygames.ru/karkasson-mosti-zamki-i-bazari
"Таверна ""Красный Дракон"": Злодеи";Заходят как-то в бар вампир, мумия и гоблин...;1990₽;_2-4;_30-60;18+;https://hobbygames.ru/taverna-krasnij-drakon-zlodei
Песнь льда и огня: Старки против Ланнистеров;Кому достанется Железный трон?;9990₽;_2+;_45-60;13+;https://hobbygames.ru/pesn-lda-i-ognja-starki-protiv-lannisterov
Повелители Бездны;Возьмите власть в свои руки;990₽;_2-4;_30+;8+;https://hobbygames.ru/poveliteli-bezdni
Loonacy;Простая и увлекательная игра на быстроту реакции;490₽;_2-5;_5-10;8+;https://hobbygames.ru/loonacy
Великий Западный Путь. Второе издание;За работу, ковбои!;4990₽;_1-4;_75-150;14+;https://hobbygames.ru/velikij-zapadnij-put-vtoroe-izdanie
Звёздные империи: Колониальные войны;Мы в космосе не одиноки;790₽;_2-6;_30-60;12+;https://hobbygames.ru/zvjozdnie-imperii-kolonialnie-vojni
Замес: Мишки, бабки, рок-н-ролл;Металл от бабушки;990₽;_2;_45;12+;https://hobbygames.ru/zames-mishki-babki-rok-n-roll
Small World: Подземный мир;Как построить империю в такой тесноте?;4990₽;_2-5;_30-90;8+;https://hobbygames.ru/smallworld-podzemnij-mir
Остров духов: Гиблый край;Захватчики становятся могущественнее...;4990₽;_1-6;_90-180;13+;https://hobbygames.ru/ostrov-duhov-giblij-kraj
Такеноко;Попробуй прокормить ненасытную панду!;4390₽;_2-4;_45;10+;https://hobbygames.ru/takenoko
Повелитель Токио;Останется только один монстр!;3290₽;_2-6;_30+;8+;https://hobbygames.ru/povelitel-tokio
Игра престолов: Танец с драконами;Ваши любимые персонажи и новый сценарий;990₽;_3-6;_120-180;13+;https://hobbygames.ru/igra-prestolov-nastolnaja-igra-vtoroe-izdanie-tanec-s-drakonami
"Набор дополнений ""Ужас Аркхэма. Карточная игра: Забытая эпоха"": ""Гибельные джунгли""";Кровавое наследие;5721₽;_1-8;_90-120;13+;https://hobbygames.ru/gibelnie-dzhungli
Нераскрытое дело Шерлока Холмса;Завершите расследование великого детектива;1290₽;_1-8;_90-120;13+;https://hobbygames.ru/neraskritoe-delo-sherloka-holmsa
"Книга-игра ""Космический десант""";Инопланетяне рядом;990₽;_1-6;_60-180;16+;https://hobbygames.ru/kniga-igra-kosmicheskij-desant
Мир виноделия;Добейтесь мирового признания вместе!;3250₽;_1-6;_60-180;13+;https://hobbygames.ru/mir-vinodelija
Крагморта;Кто сказал, что гоблины тупые?;1490₽;_2-8;_20-40;8+;https://hobbygames.ru/kragmorta
Ticket to Ride: Америка;Вагонные споры последнее дело...;4990₽;_2-5;_30-60;8+;https://hobbygames.ru/ticket-to-ride-amerika
Хора: Становление империи;Преумножьте славу вашего полиса!;3990₽;_2-4;_75;13+;https://hobbygames.ru/hora-stanovlenie-imperii
Мафия: Вся семья в сборе;"Любимая ""Мафия"" с масками и новыми правилами";2490₽;_7-17;_20+;14+;https://hobbygames.ru/mafija-vsja-semja-v-sbore
Catan: Города и рыцари;Новые возможности!;3990₽;_3-4;_120+;12+;https://hobbygames.ru/catan-goroda-i-ricari-novoe-izdanie
Селестия;Земля, прощай! Мы улетаем!;2490₽;_2-6;_30+;8+;https://hobbygames.ru/selestija
Ticket to Ride. Европа: 1912;Новые правила, маршруты и здания;1790₽;_2-5;_45+;8+;https://hobbygames.ru/ticket-to-ride-evropa-1912
"Набор игр ""Таверна ""Красный Дракон"": ""Угарные посиделки №1""";Присаживайтесь, пейте;4565₽;_2-12;_30-60;18+;https://hobbygames.ru/posidelki-v-taverne-1
Бэнг! Дуэль;Перестрелка стенка на стенку;990₽;_2;_30+;12+;https://hobbygames.ru/bjeng-dujel
Финиш;Напрасное бегство;593₽;_1-4;_75;12+;https://hobbygames.ru/finish
Pixel Tactics;Восьмибитная графика и тактические бои;740₽;_2+;_30-60;12+;https://hobbygames.ru/pixel-tactics
Ольтре;Осколки старой Империи;4490₽;_2-4;_60+;14+;https://hobbygames.ru/oltree
Детективные истории: Последний рейс Гаттардо;Преступления картелей;690₽;_1-5;_60;18+;https://hobbygames.ru/detektivnie-istorii-poslednij-rejs-gattardo
Нечто. Настольная игра: Норвежская станция. Набор миниатюр;Северные учёные;3490₽;_1-8;_60-120;18+;https://hobbygames.ru/nechto-nastolnaja-igra-norvezhskaja-stancija-nabor-miniatjur
Место преступления: Средневековье;Рыцарь-детектив идёт по следу;2490₽;_1-4;_60-90;18+;https://hobbygames.ru/mesto-prestuplenija-srednevekove
"Звёздные империи. Набор промокарт ""Год 2""";Расширьте свой гарнизон!;600бон.;_2-4;_90+;12+;https://hobbygames.ru/zvjozdnie-imperii-nabor-promokart-god-2
Манчкин Квест;Больше коробка – больше приключений!;2990₽;_2-4;_90+;12+;https://hobbygames.ru/manchkin-kvest-4-e-rus-izd
Войны Ктулху: Дуэль;Ужас Глубин против Чёрной Козы;2990₽;_2;_20-30;8+;https://hobbygames.ru/vojni-ktulhu-dujel
Эпичные схватки боевых магов: Месиво на грибучем болоте;Очередная возможность устроить армагеддец!;1490₽;_2-6;_30+;18+;https://hobbygames.ru/jepichnie-shvatki-boevih-magov-mesivo-na-gribuchem-bolote
